Country,State,city,place,lastupdate,Avg,Max,Min,Pollutants
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",21-12-2018 03:00:00,61,132,32,OZONE
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-12-2018 03:00:00,457,500,325,PM2.5
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-12-2018 03:00:00,15,22,11,NO2
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-12-2018 03:00:00,34,47,20,SO2
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",21-12-2018 03:00:00,95,148,71,CO
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00:00,389,475,247,PM2.5
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00:00,314,446,154,PM10
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00:00,131,194,61,NO2
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00:00,10,15,6,NH3
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00:00,30,48,16,SO2
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00:00,56,109,25,CO
India,Delhi,Delhi,"Alipur, Delhi - DPCC",21-12-2018 03:00:00,41,86,1,OZONE
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00:00,NA,NA,NA,PM2.5
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00:00,NA,NA,NA,PM10
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00:00,NA,NA,NA,NO2
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00:00,NA,NA,NA,NH3
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00:00,NA,NA,NA,SO2
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00:00,89,175,68,CO
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",21-12-2018 03:00:00,20,29,11,OZONE
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00:00,418,500,313,PM2.5
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00:00,333,455,194,PM10
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00:00,40,88,4,NO2
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00:00,10,12,8,NH3
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00:00,29,51,14,SO2
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00:00,86,120,55,CO
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",21-12-2018 03:00:00,63,140,6,OZONE
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00:00,329,430,153,PM2.5
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00:00,257,424,125,PM10
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00:00,25,29,13,NO2
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00:00,114,116,100,CO
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",21-12-2018 03:00:00,45,88,32,OZONE
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00:00,311,365,203,PM2.5
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00:00,345,454,199,PM10
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00:00,64,115,18,NO2
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00:00,17,21,13,NH3
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00:00,21,32,9,SO2
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00:00,65,107,35,CO
India,Delhi,Delhi,"Bawana, Delhi - DPCC",21-12-2018 03:00:00,56,145,2,OZONE
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00:00,388,500,226,PM2.5
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00:00,317,500,150,PM10
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00:00,28,38,21,NO2
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00:00,106,110,71,CO
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",21-12-2018 03:00:00,27,40,24,OZONE
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",21-12-2018 03:00:00,385,500,185,PM2.5
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",21-12-2018 03:00:00,360,497,159,PM10
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",21-12-2018 03:00:00,85,117,61,NO2
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",21-12-2018 03:00:00,84,169,51,CO
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",21-12-2018 03:00:00,41,42,41,OZONE
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-12-2018 03:00:00,401,500,234,PM2.5
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-12-2018 03:00:00,350,500,172,PM10
